Book_name,Book_price,Book_postage
RUSS WINTERBOTHAM The Red Planet Vtg RUSS WINTERBOTHAM Vtg Martian Vtg Demonic,£31.32,£16.88
"Colsec Rebellion Puffin Story Books by Douglas, Hill 0140317694 ",£7.30,£7.33
L. RON HUBBARD  - THE MISSION EARTH DECOLOGY - ALL 10 VOLUMES Paperback Set,£56.32,£56.32
Ravenor Issue 45 Dan Abnett Sealed New Black Library Warhammer Games Workshop GW,£20.00,£26.00
"Star Wars New Jedi Order: Vector Prime, Star by Star, Traitor Hardcover SFBC",£36.64,£58.32
STAR TREK THE ROBOT MASTERS VINTAGE COMIC BOOK AND RECORD 1979   ,£9.99,£11.95
Jack Vance Vintage Science Fiction Fantasy Paperback Books w Fantastic Cover Art,£2.40 to £20.01,£32.08
SAPPHIRE ROAD by Wynne N Whiteford | 1979 Vintage Aussie Sci-Fi Paperback,£6.77,£38.45
To Live Forever by Jack Vance Daw Paperback science fiction ,£7.86,£7.33
"A Transatlantic Tunnel, Hurrah! by Harry Harrison - New English Library, 1983",£4.00,£7.50
CHRISTOPHER HINZ Liege Killer Vtg Nuclear war Genetically engineered Sci Fi Book,£50.11,£16.88
Sydney J Bounds-The World Wrecker Paperback Book.1956/1964 Digit Books.,£3.99,£6.00
William F. Nolan LOGAN'S RUN LOGAN 1 1976 Movie Tie In Media Tie In MOVIE Book,£43.84,£16.88
"Taflak Lysandra, by L. Neil Smith - paperback, Avon Books, 1988",£6.00,£7.50
Star Wars - Tales from Jabba's Palace by Kevin J. Anderson (1996),£11.28,£19.62
"Lot of 3x Warhammer Science Fiction / Fantasy Books! Soul Hunter, Crusade & More",£42.28,£28.95
"Futureworld, by John Ryder Hall - SF paperback film tie-in, Ballantine, 1976",£10.00,£7.50
"Choice of the Cat (Vampire Earth (Paperback)) by Knight, E E Book The Cheap Fast",£10.55,£4.00
FRANK HERBERT DUNE 1987 Vtg FRANK HERBERT Book Vtg Dune Book Vtg Sci Fi Book,£68.90,£16.88
"Dark Imperium by Guy Haley (2017, Hardback) - Warhammer 40K Era Indomitus novel",£54.99,£19.50
Who Needs Men?,£4.99,£17.00
"Warhammer 40,000 Trials by Blood Hardback Book",£16.99,£21.00
Steve Jackson SKY LORD FIGHTING FANTASY 2 1988 Dungeon Dragons DND Book D&D Book,£37.58,£16.88
Philip Jose Farmer STRANGE RELATIONS 1966 Vtg  Philip Jose Farmer Vtg Alien Book,£12.53,£16.88
Edward Packard DEADWOOD CITY Vintage CHOOSE YOUR OWN ADVENTURE Book 8 1980 ,£20.04,£16.88
RAY BRADBURY Fahrenheit 451 Book Banned Book Media Drugs Conformity Book Burning,£31.32,£16.88
Cocoon By David Saperstein 1985 Science Fiction Paperback Novel,£7.58,£21.31
ISAAC ASIMOV Nebula Award Stories 8 1975 PANTHER Science Fiction Panther Book,£25.05,£16.88
"Children of Tomorrow, A.E. van Vogt - NEL 1973, 1st UK pb Bruce Pennington cover",£4.00,£7.50
"Bagdad, by Ian Dennis - Unwin paperbacks, 1987",£5.00,£7.50
FIREFALL: Omnibus of Blindsight & Echopraxia 2014 1st Ed. H/Cover D/W Good Cond.,£28.19,£47.61
Michael Coney - Cat Karina - 1982 ACE- Vintage paperback,£6.00,£4.00
TOTAL RECALL by Piers ANTHONY : 1990 Film Novelization : UK Legend Paperback ,£6.77,£9.98
2 X STAR TREK TITAN PAPERBACKS THE STARSHIP TRAP AND RULES OF ENGAGEMENT,£2.99,£11.70
"Fevre Dream,George R.R. Martin- 9781407247298",£2.86,£4.99
Star Wars: Clone Wars Gambit Stealth Hardcover by Karen Miller DAMAGED,£78.93,£30.08
"Space Opera, edited by Brian Aldiss - paperback, Futura Books, 1975 reprint",£8.00,£10.00
GARY RUSSELL Doctor Who Book 1996  Paul McGann Doctor Who Movie Eric Roberts,£31.32,£16.88
JOHN MORRESSY Nail Down The Stars Vtg JOHN MORRESSY 1st Ed NEL Vtg Sci Fi Book,£31.32,£16.88
"Dreamsnake, by Vonda N. McIntyre - SF paperback, Pan Books, 1979",£6.00,£7.50
"Stargate, by Pauline Gedge - SF paperback, Penguin, 1983",£6.00,£7.00
"All the Myriad Ways, by Larry Niven - classic SF, Del Rey Books, 1983 reprint",£6.00,£7.00
"Sandkings, by George R.R. Martin - Orbit Books, 1983 - signed by the author",£25.00,£12.00
(Very Good)-Doctor Who The Feast of the Drowned (Paperback)-Stephen Cole-1846073,£1.88,£0.90
"Candy Man, by Vincent King - paperback, Sphere Books, 1973",£4.00,£7.50
"The Plastic Man, by Jeremy Brent - paperback, New English Library, 1974",£15.00,£7.50
"Arrival (Movie Tie-in edition),Ted Chiang",£2.14,£4.99
RUTH NOEL The Mythology of Tolkiens Middle Earth 1977 Vtg J. R. R. Tolkien Book,£68.90,£16.88
Blood of Eden #1 THE IMMORTAL RULES VAMPIRES Julie Kagawa author The Iron Fey PB,£9.56,£16.88
"Transformers Universe - Bob Budiansky, Ian Akin, Brian Garvey MARVEL COMICS",£40.00,£14.55
Frank Herbert Dune Messiah & Children of Dune - NEL - 1978 paperbacks,£18.99,£18.00
"The Black Cloud, by Fred Hoyle - paperback, Penguin, 1977, cover by David Pelham",£10.00,£7.50
Close Encounters of the Third Kind 1978 UK Sphere 1st/1st PBO - Fotonovel,£5.99,£8.00
"Steel Rain (Shadowrun), by Nyx Smith - paperback, RoC Books, 1997",£12.00,£7.50
"Eon,Greg Bear- 9780099523505",£3.09,£4.99
"Doctor Who and the Sontaran Experiment, by Ian Marter - paperback, Target, 1984",£6.00,£7.50
"Herbert, Frank; Dune Messiah; Paperback; First Edition; First Edi",£127.49,£10.00
THEODORE STURGEON - The Joyous Invasions (Sphere Science Fiction 1978),£4.95,£7.50
ALAN DEAN FOSTER Startrek Log 4 Vtg Startrek Book Vtg Alan Dean Foster Vtg Scifi,£20.04,£16.88
A.C. CRISPIN Alien Resurrection Book Sigourney Weaver Winona Ryder Joss Weldon,£38.83,£16.88
"Survivor: 2 (Destroyer Trilogy) by Turner, Brian G Paperback Book (*270)",£6.95,£10.00
New writings in SF-13 Edited by John Carnell. 1968 1st edition Corgi Paperback ,£7.49,£6.80
Dee Carter – Blue Cordon - UK 1st Curtis Warren paperback edition - Sept. 1952,£30.00,£12.50
"Perry Rhodan 94: Action: Division 3, by Kurt Mahr - Ace Books, 1976",£6.00,£7.50
"Golden Blood, by Jack Williamson - vintage SF paperback, Lancer Books, 1964",£5.00,£7.00
Knight of the Black Rose James Lowder 1991 Ravenloft #2 Rare Free Postage,£31.01,£28.19
CHRISTOPHER HINZ Liege Killer Vtg Nuclear war Genetically engineered Sci Fi Book,£50.11,£16.88
"Steel Rain (Shadowrun), by Nyx Smith - paperback, RoC Books, 1997",£12.00,£7.50
"War of the Wing-Men, by Poul Anderson - Sphere, 1976, Chris Achilleos cover art",£3.00,£7.50
"The War of Vengence: The Great Betrayal by Nick Kyme, Paperback, Pre-owned.",£14.09,£17.93
"Vintage Stephen King Book ‘The Waste Lands’ (PB,1993) The Dark Tower III 3 ",£21.99,£20.80
THEODORE STURGEON The Dreaming Jewels Book Vtg THEODORE STURGEON 1975 Corgi Book,£20.04,£16.88
ALAN DEAN FOSTER Icerigger 1976 Vtg ALAN DEAN FOSTER Vtg Sci Fi Vtg NEL Book 70s,£20.04,£16.88
J.R.R. TOLKIEN The Silmarillion Vtg J.R.R. Tolkein 1st Edition URWIN Book 1979,£106.48,£16.88
"Dreamsnake, by Vonda N. McIntyre - SF paperback, Pan Books, 1979",£6.00,£7.50
EXPEDITION DOWN UNDER The Magic School Bus Science Chapter Books Kangaroo Book,£12.53,£16.88
"Unicorns and Germs: 6 (Zoey and Sassafras), Very Good Condition, Citro, Asia, IS",£4.07,£1.36
The Memory Librarian: And Other Stories of Dirty Computer by Janelle Monae,£15.84,£17.99
"Warhammer 40,000: Urdesh: The Serpent and the Saint by Matthew Farrer (Hardback)",£56.38,£39.10
"The Shockwave Rider, by John Brunner - SF paperback, Del Rey Books, 1989",£5.00,£7.50
"Dark Imperium by Guy Haley (2017, Hardback) - Warhammer 40K Era Indomitus novel",£54.99,£19.50
"STRANGER THINGS: Suspicious Minds Book by Gwenda Bond (Paperback, 2019) Sci-Fi",£10.71,£11.22
Star Trek Log One - Alan Dean Foster - Ballantine Books 1975,£5.05,£4.48
"Eon,Greg Bear- 9780099523505",£3.09,£4.99
SCHWA – Bill Barker Book (+ assorted cards) – 1993 ISBN 0-935914-1-X  80PP VG ,£75.00,£13.15
ISAAC ASIMOV Nebula Award Stories 8 1975 PANTHER Science Fiction Panther Book,£25.05,£16.88
ERIC AFFABEE Dragon Queens Revenge WIZARDS WARRIORS AND YOU 9 Gamebook DnD RARE,£144.07,£16.88
"The Songs of Distant Earth, by Arthur C. Clarke - paperback, Grafton Books, 1987",£4.00,£7.50
4 Anne McCaffrey books: Dragonquest/Dragonsdawn/Renegades/ All the Weyrs of Pern,£12.00,£21.50
"Threats...And Other Promises, by Vernor Vinge - paperback, Baen Books, US, 1988",£8.00,£10.00
Cocoon By David Saperstein 1985 Science Fiction Paperback Novel,£7.58,£21.31
"Flowers for Algernon (SF Masterworks 25), Daniel Keyes - Gollancz, circa 2005",£4.00,£7.50
"Cardinal Crimson (Necromunda) by Will McDermott, Paperback, Pre-owned.",£19.73,£17.93
"New Worlds SF 145, November-December 1964, edited by Michael Moorcock",£4.00,£7.50
"Who Needs Men? by Edmund Cooper - Coronet Books, 1974, cover art by Chris Foss",£4.00,£7.50
JAMES BLISH Black Easter SF Rediscovery 27 1977 First Printing Witchcraft Book,£125.28,£16.88
RAY BRADBURY Fahrenheit 451 Book Banned Book Media Drugs Conformity Book Burning,£31.32,£16.88
"Warhammer 40,000 Legends Collection No 29 Trial By Blood By Andy Smillie",£14.00,£17.50
"Dragonquest: Being the further adventures of the Dragonrid... by McCaffrey, Anne",£5.49,£8.00
"Arthur C. Clarke book lot of 6 - Deep range, venus prime, 3001, distant earth et",£39.44,£16.88
The Muller-Fokker Effect by John Sladek 1972 UK Panther PB 1st - Vintage - VGC,£6.99,£8.00
"Interfaces, edited  by Ursula K. Le Guin & Verginia Kidd (Paperback, 1980) ",£9.56,£19.73
"Second Stage Lensman, E. E. ""Doc"" Smith - Panther, 1973, Chris Foss cover art",£5.00,£7.50
"Kajira of Gor (A Star book) by Norman, John Book The Cheap Fast Free Post",£5.99,£8.00
"Possession,Peter James- 9781407220482",£2.02,£4.99
The Drought by J.G. Ballard 1974 UK Penguin PB - Vintage - VGC - David Pelham,£39.99,£8.00
APOLLO 13 The Junior Novelization APOLLO 13 Movie Book Vtg APOLLO 13 Film Book ,£37.58,£16.88
J. O. JEPPSON The Second Experiment Vintage Science Fiction First Edition 1975,£37.58,£16.88
Overfiend by David Annadale Book The Cheap Fast Free Post,£100.99,£8.00
The Black Cloud by Fred Hoyle 1964 UK Penguin PB - Vintage Sci-Fi - VGC,£7.99,£8.00
"Revelation: The UFO Conspiracy, by David Bischoff - paperback, Warner Books 1991",£10.00,£10.00
"Star trek II: The wrath of Khan photostory, Anobile, Richard J, Good Condition, ",£3.31,£3.99
"Star wars complete locations updated édition, , Good Condition, ISBN 97802413240",£6.00,£6.72
BRIAN M. STABLEFORD Wildeblood's Empire Vintage Brian M. Stableford First Ed,£37.58,£16.88
Carol Kendall THE FIRELINGS 1986 Vintage Carol Kendall Book Vintage Sci Fi Book,£37.58,£16.88
"The Far-out Worlds of A.E.Van Vogt - SF paperback, NEL, 1974",£3.00,£7.00
"Survival Instinct (Necromunda) by Andy Chambers, Paperback, Pre-owned.",£28.19,£17.93
Return To Mars by Captain W. E. Johns. 1980 Piccolo Paperback.,£5.99,£6.80
RAY BRADBURY Farenheit 451 2008 Vtg Sci Fi Book Vtg SF Novel Dystopian Novel,£31.32,£16.88
MICK FARREN DarkLost Recommended Michael Moorcock Cthulhu Book Vtg MICK FARREN,£37.58,£16.88
JANE LINDSKOLD Marks of Our Brothers Vtg Jane Lindskold 1995 1st Edition AvoNova,£37.58,£16.88
ROBERT A. HEINLEIN Friday Vtg ROBERT A. HEINLEIN 1st Edition NEL Paperback,£37.58,£16.88
"Doctor Who and The Planet of the Spiders, by Terrance Dicks - Target Books, 1982",£5.00,£7.50
Star Wars Honor and Duty 2006 First Edition John Ostrander Luke Ross C. P. Smith,£45.10,£28.19
Wild and Wicked Things Francesca May Goldsboro Exclusive Signed Limited Edition,£45.00,£28.00
"Adeptus Mechanicus: Skitarius: Book 1 (Wahammer 40K) (Hardback, 2015) Very Good",£49.99,£24.99
"Tom Swift and His Jetmarine, by Victor Appleton II - Tempo Books, US, 1977",£5.00,£7.50
THE HALO HIGHWAY - (A story of the Invaders) - Rafe Bernard - 1967 1st ed.,£15.00,£6.00
"Warhammer 40,000 - Astorath: Angel of Mercy (Hardback Book) by Guy Haley",£56.38,£39.10
"Interface (T-City 1), by Mark Adlard - vintage SF paperback, Ace Books, 1977",£5.00,£7.50
"The Grey Raider, Joh Flanagan (2015) Book Novel - Historical Nautical War Action",£9.02,£19.62
I've Met Some Bloody Wags (1981) Vintage Graphic Book Novel - Australian Humor,£10.15,£19.62
"Journey Into Space, by Charles Chilton - paperback, Digit Books, 1963",£5.00,£7.50
MICHAEL MOORCOCK Elric At The End of Time 1985 Vtg MICHAEL MOORCOCK Vtg Panther,£31.32,£16.88
DAMON KNIGHT Orbit 7 Vtg Gene Wolfe Vtg Thomas M. Disch Book Vtg Richard Hill,£37.58,£16.88
Recalled to Life - Robert Silverberg  PB Panther SF (1975),£3.99,£6.00
"Damocles: An Apocalypse Anthology (Warhammer 40K) (Hardback, 2014 1st Print) VG",£49.99,£24.99
"Atmosphæra Incognita by Neal Stephenson (Hardback, 2019 Deluxe First Edition) VG",£99.99,£19.99
"2010: Odyssey Two by Arthur C. Clarke (Paperback, 1985) Book English",£18.60,£11.22
"A Private Cosmos, by Philip José Farmer (World of Tiers 3) - Sphere, 1970",£5.00,£7.00
Star Wars RETURN OF THE JEDI The Storybook Based on the Movie Hardback 1983,£22.52,£16.91
"Novel: Battlestar Galactica Classic ""The Tombs of Kobal"" - ibooks 2003",£8.43,£3.92
"Fevre Dream,George R.R. Martin- 9781407247298",£2.86,£4.99
Harry Harrison MAKE ROOM MAKE ROOM 1982 Vtg Harry Harrison Vtg Dystopia Book,£27.56,£16.88
FRANK HERBERT The Jesus Incident Vtg FRANK HERBERT Vtg Naked Art Vtg Erotic Art,£31.32,£16.88
"The Green Millennium, by Fritz Leiber - SF paperback, Orbit/Futura, 1976",£5.00,£7.50
"Doctor Who: The Audio Scripts Vol. 3 (Hardback, 2003 1st Edition) Good",£129.99,£24.99
"Animorphs The Predator, K A Applegate (2011) Vintage Book Novel - Fantasy Series",£9.02,£19.62
MAHOGANY TRINROSE SIME/GEN #4 1982 FANTASY SCI-FI Powers Myth Magic Classic PB,£16.93,£16.88
Karl Zeigfreid - Zero Minus X - UK 1st paperback - Badger Books SF81 - 1962 ,£12.00,£12.50
"Amulet graphic novel comic fiction fantasy series - books 4, 5, 6, 7, 8 VGC",£28.16,£19.73
"Khârn: The Red Path (The Red Path 1-8) (Paperback, 2018) Very Good",£44.99,£14.99
"Gentle Invaders, Hans Stefan, Santesson - vintage SF anthology, Belmont, 1969",£4.00,£7.00
Robert Holdstock Mythago Bulk Books Lot of 3 Vintage Fantasy Paperback Novels,£11.82,£16.91
BRIAN M. STABLEFORD Wildeblood's Empire Vintage Brian M. Stableford First Ed,£37.58,£16.88
Carol Kendall THE FIRELINGS 1986 Vintage Carol Kendall Book Vintage Sci Fi Book,£37.58,£16.88
RAY BRADBURY Farenheit 451 2008 Vtg Sci Fi Book Vtg SF Novel Dystopian Novel,£31.32,£16.88
"2061: Odyssey Three, by Arthur C. Clarke - paperback, Harper Collins, 1993",£3.00,£7.50
"The Fleet Book 5: Total War, David Drake & Bill Fawcett - Ace Books, 1990",£6.00,£7.50
Star Maidens Annual 1978 Stafford Pemberton Publishing VG not price clipped ,£22.99,£23.00
"A Sense of Wonder - Three Novellas (Wyndham, Leinster, Williamson) - 1969 p/b",£4.50,£3.75
ALAN DEAN FOSTER STARTREK LOG 4 Log Four 1976 Vtg ALAN DEAN FOSTER Vtg Star Trek,£20.04,£16.88
George Gipe BACK TO THE FUTURE 1985 CORGI Vtg BACK TO THE FUTURE Book Tie In,£20.04,£16.88
"Greybeard, by Brian W. Aldiss - vintage SF paperback, Panther, 1972",£5.00,£7.50
"Warhammer 40,000 Trials by Blood Hardback Book",£16.99,£21.00
"Isaac Asimov’s Robot City Book 5: Refuge, by Rob Chilson - Ace Books, 1988",£4.00,£7.50
JANE LINDSKOLD Marks of Our Brothers Vtg Jane Lindskold 1995 1st Edition AvoNova,£37.58,£16.88
ROBERT A. HEINLEIN Friday Vtg ROBERT A. HEINLEIN 1st Edition NEL Paperback,£37.58,£16.88
Terrance Dicks STAR QUEST ROBOWORLD 1980 Vtg Terrance Dicks Author Doctor Who,£31.32,£16.88
ALAN DEAN FOSTER Cyber Way 1992 ORBIT BOOK VINTAGE Alan Dean Foster Book SCI FI,£18.79,£16.88
Bron Fane - U.F.O. 517 - Badger Books SF115 - 1st UK Paperback 1965,£10.00,£12.50
IRA LEVIN The Boys From Brazil Movie Book 1978 Vtg IRA LEVIN Sci Fi Thriller,£31.32,£16.88
"Earthlight, by Arthur C. Clarke - paperback, Pan Books, 1973, Chris Foss cover",£4.00,£7.50
Alfred Bester – The Dark Side of the Earth - UK 1st Pan pbk. - 1967 - collection,£5.00,£12.50
The Steam-Driven Boy by John Sladek 1973 UK Panther 1st/1st PBO Vintage Sci-fi,£8.99,£8.00
Dean R Koontz  ANTI-MAN  1st US EDITION PAPERBACK 1970,£12.99,£8.30
4x vintage Sci-fi/fantasy hardcover books - 1984 Orwell solaris LEM J G ballard ,£50.00,£44.44
"Herbert, Frank; Dune Messiah; Paperback; First Edition; First Edi",£127.49,£10.00
"Eloise, E C Tubb - 1978 Arrow Paperback, Dumarest Saga No. 12",£5.50,£6.80
" The Starchild Trilogy, by Frederik Pohl & Jack Williamson - Penguin, 1980",£5.00,£14.00
"Outlanders: Prodigal Chalice, by James Axler - paperback, Gold Eagle, 2002",£6.00,£9.00
Vtg Robert Bloch Vtg Philip K. Dick Vtg Ray Bradbury Vtg Avram Davidson Vtg Scfi,£31.32,£16.88
PHILIP K. DICK Flow My Tears The Policeman Said Vtg PHILIP K. DICK Vtg Daw Books,£31.32,£16.88
"Prelude to Chaos, by Edward Llewellyn - SF paperback, DAW Book 517, 1983",£6.00,£7.50
"Carson of Venus, by Edgar Rice Burroughs - SF paperback - NEL Books, 1973",£8.00,£7.50
Pre Code Classics Weird Terror Vol 1 HC,£24.99,£10.00
"Behold the Man by Michael Moorcock - SF paperback, Mayflower, 1976 reprint",£6.00,£7.50
"Star Wars: Millennium Falcon by James Luceno (Hardcover, 2009)",£14.09,£30.08
Vintage 1985 to 1987 L Ron Hubbard MISSION EARTH Decalogy Books Set 1st Edition,£121.77,£84.57
"Seed of Light by Edmund Cooper - vintage SF, Coronet, 1977 - Jim Burns cover",£5.00,£7.95
"The Serpent, by Jane Gaskell - paperback, Tandem Books, 1975",£6.00,£7.50
Arthur C. Clarke THE CITY AND THE STARS Book 1979 Vtg Arthur C. Clarke Book,£21.92,£16.88
ISAAC ASIMOV The End of Eternity 1972 Vtg ISAAC ASIMOV Vtg Panther Sci Fi Book,£31.32,£16.88
BBC TV Tie-in 1980 Sci Fi Fantasy  Annual BATTLE OF THE PLANETS (1978)  Anime,£10.99,£9.99
Rodney Matthews; Last Ship Home,£55.90,£10.00
Dying Of The Light by George R.R. Martin 2015 UK Gollancz PB - VGC,£5.99,£8.00
"Warhammer 40,000: Cassius - Space Marine Legends by Ben Counter (Hardcover Book)",£56.38,£39.10
"The Ebb Tide by James P. Blaylock (Hardback, 2009 SIGNED Deluxe 1st Print) Fine",£39.99,£24.99
Ace Double SCI-FI #42800 - THE BANE OF KANTHOS ALEX DAIN / KALIN E.C. TUBB -1969,£5.99,£7.30
"False Dawn, by Chelsea Quinn Yarbro - SF paperback, Granada, 1981",£4.00,£7.50
Venus 13 by Raymond Hitchcock 1973 UK Sphere PB 1st - Vintage SF - VGC,£8.99,£8.00
"The Illustrated Man, by Ray Bradbury - vintage paperback, Corgi Books, 1960",£8.00,£7.50
J.K. ROWLING Harry Potter and the Half Blood Prince Harry Potter Deluxe Edition,£125.28,£28.16
STAR WARS THE FORCE AWAKENS VISUAL DICTIONARY  Hardback DK Disney 1st Edition,£9.99,£20.00
Bundle 3 John Birmingham Novels - Weapons Of Choice + Angels of Vengeance +,£19.73,£38.28
"The Metal Monster, by A. Merritt - Avon Books, 1976, cover art by Stephen Fabian",£10.00,£7.50
"Star Light, by Hal Clement - Mission of Gravity sequel, Del Rey, US, 1978",£4.00,£7.00
Foundation and Earth by Isaac Asimov Book #5 Foundation Series Paperback 1987,£8.99,£19.73
"Spaceways #15: Starship Sapphire, by John Cleve - Berkley Books, 1984",£10.00,£7.95
KEITH ROBERTS The Furies Vtg R W Mackelworth Vtg Alistair Bevan Vtg Johnny Byrne,£37.58,£16.88
Tomorrow X 4 Edited By Damon Knight Paperback Book.1964/1967 Coronet F124.,£3.99,£6.00
Be an Interplanetary Spy #4: Space Olympics,£5.64,£17.93
"Humans, by Robert J. Sawyer - paperback, Tor Books, 2003",£5.00,£10.00
The Godmakers by Frank Herbert Vintage Paperback 1972 edition,£10.71,£28.95
ROBERT HEINLEIN Rocketship Galileo 1971 Vtg NEL Paperback Vtg Robert Heinlein ,£14.40,£16.88
LINDSAY GUTTERIDGE Cold War in a Country Garden Vtg Spy Book Vtg Spy SF Fantasia,£20.67,£16.88
CHELSEA QUINN YARBRO Cautionary Tales 1980 1st Edition WARNER Books Vtg Sci Fi,£31.32,£16.88
Grant Naylor INFINITY WELCOMES CAREFUL DRIVERS Vtg Red Dwarf Vtg Grant Naylor,£14.40,£16.88
"Stealers' Sky (Thieves' World 12), edited by Robert Asprin - Ace Books, 1989",£8.00,£7.50
MICHAEL MOORCOCK The Sailor on the Seas of Fate Vtg MICHAEL MOORCOCK 1st Edition,£55.75,£16.88
The Santaroga Barrier by Frank Herbert 1979 UK NEL PB - Vintage VGC,£7.99,£8.00
"Rude Astronauts, by Allen Steele - paperback, Ace Books, 1995",£5.00,£7.50
"Warhammer 40,000: Shadowsword by Guy Haley (Hardcover Book)",£56.38,£39.10
"The English Assassin, by Michael Moorcock - Quartet Books, 1973",£6.00,£7.50
The Gameplayers of Zan - M.A. Foster 1st UK Edition Ler Trilogy Science Fiction,£6.77,£19.62
 New Shade's Children Garth Nix 1st Edn 14th birthday Future Science Shades PB,£3.99,£5.70
"Alien Worlds, edited by Charles N. Brown - paperback, Mews Books, 1976",£6.00,£7.50
Edgar Rice Burroughs: The Gods of Mars 1935 Science Fantasy Good Fiction HB,£35.00,£12.00
"Behind The Walls of Terra, by Philip José Farmer  - Sphere Books, 1983 printing",£3.00,£7.50
ANNE MCCAFFREY Dinosaur Planet 1997 Vtg Anne McCaffrey Vtg Sci Fi Book Vtg SF,£14.40,£16.88
THE HOW AND WHY WONDER BOOK Planets Book 1971 Vintage Children's Science Book,£21.92,£16.88
"Only Revolutions by Mark Z Danielewski (Hardcover, 2006) First Edition ",£14.07,£16.88
"Pyramid Power by Ann Ruffell (1983) Gripping Ancient Mystery Novel  Hardback, DJ",£14.99,£20.95
"""CRITICAL MASS"" Stories by POHL & KORNBLUTH Vintage PB [Bantam 1977] GOOD",£4.48,£4.49
Doctor Who: Time Zero by Justin Richards  BOOK,£15.99,£16.25
"Preferred Risk, by Frederik Pohl & Lester Del Rey - Methuen, 1983",£3.00,£7.00
"Innocence Proves Nothing by Sandy Mitchell, Paperback, Pre-owned.",£8.46,£17.93
"Hour of the Horde, by Gordon R. Dickson -  paperback, DAW Books, 1981",£5.00,£7.50
The GODMAKERS by Frank HERBERT : 1975 NEL Sci Fi Paperback : Author of DUNE etc ,£6.09,£9.98
The If Reader Of Science Fiction by Frederick Pohl,£33.80,£16.88
"RAY BRADBURY - R is for Rocket, S is for Space SIGNED Numbered Slipcased Ltd OOP",£49.99,£24.99
"A Matter of Time, by Glen Cook - paperback, Ace Books, 1985",£5.00,£7.95
A Crossroads Adventure The Witchfires Of Leth by Don Greenberg ,£22.52,£10.15
"Kampus, by James E. Gunn - SF paperback, Bantam Books, US, 1977",£5.00,£10.00
"Swan Song (Hooded Swan 6), by Brian Stableford - SF paperback, Pan, 1978",£4.00,£7.50
"Stargate, by Pauline Gedge - SF paperback, Penguin, 1983",£6.00,£7.00
Holly Lisle - Hunting the Corrigan's Blood - 1997 paperback,£3.40,£3.60
Freemantle by R.W.Mackelworth issued by SFBC To members only 1969 YT,£6.99,£7.99
Dan Abnett DOUBLE EAGLE Special/Limited Edition MINT Warhammer 40K SIGNED,£60.00,£24.65
"Through A Glass, Clearly by Isaac Asimov (Paperback, 1982)",£16.35,£11.22
ARTHUR C. CLARKE Earthlight 1971 Vtg ARTHUR C. CLARKE Vtg Pan Books Vtg Sci Fi,£16.28,£16.88
K.A. APPLEGATE The Sacrifice ANIMORPHS Book 52 Vtg K.A. APPLEGATE Vtg Animorphs,£50.11,£16.88
TIMOTHY ZAHN Cobra Outlaw COBRA REBELLION 2 Vintage Military Fiction SCI FI Book,£50.11,£16.88
"Star Wars RPG Galaxy Guide 4 Alien Races by West End Games (First Edition, 1989)",£56.38,£20.75
The Black Cloud by Fred Hoyle 1964 UK Penguin PB - Vintage Sci-Fi - VGC,£7.99,£8.00
"Divergent, Insurgent, Allegiant, Veronica Roth (2013) Book Lot x3 Novel, Fantasy",£10.71,£47.61
Russell Kirkpatrick Fire of Heaven Trilogy ~Book 1+2 1st Edition~ VGood Fantasy,£22.55,£47.61
Carol Kendall THE FIRELINGS 1986 Vintage Carol Kendall Book Vintage Sci Fi Book,£37.58,£16.88
Michael Moorcock NEW WORLDS 3 1972 SPHERE Books Thomas M. Disch Brian Aldiss,£25.05,£16.88
Zima Blue and Other Stories by Alastair Reynolds (2006 First Edition Hardback) ,£33.00,£15.00
"The Obsidian Throne (The Ballad of Sir Benfro),J.D. Oswald- 9781405935258",£3.09,£4.99
"Star Wars - Lando Calrissian 3 paperbacks - Starcave, Flamewind, Mindharp",£34.95,£20.75
Robert Sawyer THE TERMINAL EXPERIMENT 1995 Vintage Robert Sawyer 1st Edition,£31.32,£16.88
Star Trek Spock's World Diane Duane 1988 Hardcover First Print First Edition,£42.28,£28.19
James Blish A CASE OF CONSCIENCE After Such Knowledge 4 Vintage James Blish Book,£10.64,£16.88
ROBERT A. HEINLEIN Friday Vtg ROBERT A. HEINLEIN 1st Edition NEL Paperback,£37.58,£16.88
Close Encounters of the Third Kind 1978 UK Sphere 1st/1st PBO - Fotonovel,£5.99,£8.00
Star Wars Jedi Academy (3 Book Set) by Jeffrey Brown (400),£8.95,£17.00
"STAR WARS Episode 1, THE PHANTON MENACE: Junior Novelisation. Patricia Wrede 1st",£36.99,£16.00
"The Black Cloud, by Fred Hoyle - paperback, Penguin, 1977, cover by David Pelham",£10.00,£7.50
"The Gentle Giants of Ganymede, by James P. Hogan - Del Rey Books, US, 1978",£6.00,£7.50
George H Smith - The Four Day Weekend  PB Priory Books (undated) ,£5.99,£6.00
Space Penguins Series 7 Book Collection Set By Lucy Courtenay,£12.86,£80.00
"Star Wars RPG Domain of Evil by West End Games (First Edition, paperback, 1991)",£45.10,£20.75
"GREG BEAR 3x NEW Early SF Novel Bundle ""PSYCHLONE""/""HEGIRA""/""STRENGTH OF STONES""",£10.98,£9.49
"Children of Tomorrow, A.E. van Vogt - NEL 1973, 1st UK pb Bruce Pennington cover",£4.00,£7.50
